4090.0417	343.1961
4217.2728	312.9852
4241.7868	414.4939
4218.9992	428.3046
4238.3342	385.4914
4317.0552	428.3046
4366.0832	496.6676
4290.1243	555.3632
4123.7053	488.3812
4092.6312	426.9236
4156.1604	371.6807
4091.2501	555.3632
4033.9357	573.3171
4245.9300	606.4628
4054.6517	589.1994
4047.0558	592.6521
3917.2352	424.8520
3888.2327	349.5836
4012.5291	312.9852
3904.8055	591.2710
3830.9182	547.0767
3771.5322	250.8370
3774.2943	270.1720
3857.1586	295.7218
3799.1536	377.8955
3762.5552	423.4709
3717.6704	399.3021
3759.1025	487.6907
3708.6934	512.5500
3699.7165	495.9771
3725.2663	589.8899
3770.1511	576.0792
3984.2171	745.2604
3751.5066	772.8818
3838.5141	893.7255
4109.8946	861.2704
4214.1654	868.1757
4181.7102	798.4317
4258.3597	837.1016
4234.1909	797.0506
4273.5515	722.4727
4408.8964	835.7206
4452.4002	765.2859
4440.6610	916.5132
3616.8522	874.3906
3651.3790	855.0556
3656.2127	908.2268
4179.6386	647.2044
3561.2641	533.9566
3645.1642	571.2455
3504.2949	544.3146
3469.0776	388.9441
3570.5863	773.2271
3470.1134	689.3270
3402.7862	783.5851
3365.4973	720.4011
3822.2865	1034.2495
3939.3323	994.8890
3957.9767	1035.2853
4188.9609	1046.6792
4454.1265	1060.1446
4489.3438	1076.7174
4235.5720	749.4036
3777.7470	347.5120
3648.2716	254.2897
3637.9136	238.7526
3904.1150	563.9949
